Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
991197,The Complete Persepolis,Marjane Satrapi,"Satrapi, Marjane",,"=""0375714839""","=""9780375714832""",5.0,Pantheon Books,Paperback,341,2007,2007,,2015/11/18,,,read,,,,1,0
25899336,When Breath Becomes Air,Paul Kalanithi,"Kalanithi, Paul",Abraham   Verghese,"=""0812988418""","=""9780812988413""",5.0,Random House,Kindle Edition,208,2016,2016,,2016/08/22,,,read,,,,1,0
105703,Pride of Baghdad,Brian K. Vaughan,"Vaughan, Brian K.","Niko Henrichon, Todd Klein","=""1401203140""","=""9781401203146""",0,Vertigo,Hardcover,136,2006,2006,2018/12/17,2018/12/17,,,read,,,,1,0
22374,Batman: Arkham Asylum - A Serious House on Serious Earth,Grant Morrison,"Morrison, Grant",Dave McKean,"=""1401204252""","=""9781401204259""",5.0,DC Comics,Paperback,216,2005,1989,,2018/12/11,,,read,,,,1,0
37264,"Good-Bye, Chunky Rice",Craig Thompson,"Thompson, Craig",,"=""0375714766""","=""9780375714764""",5.0,Pantheon,Paperback,128,2006,1999,,2018/12/11,,,read,,,,1,0
32569560,The Windfall,Diksha Basu,"Basu, Diksha",Soneela Nankani,"=""1524774111""","=""9781524774110""",5.0,Books on Tape,Audio CD,,2017,2017,,2018/03/06,,,read,,,,1,0
29726952,The World of Edena,Mœbius,"Mœbius, Mœbius","Laure Dupont, Brandon Kander, Diana Schutz, Philip R. Simon","=""1506702163""","=""9781506702162""",4.0,Dark Horse Books,Hardcover,350,2016,2001,,2018/12/09,,,read,,,,1,0
25179,Blankets,Craig Thompson,"Thompson, Craig",,"=""1891830430""","=""9781891830433""",5.0,Top Shelf Productions,Paperback,582,2003,2003,2018/12/01,2018/12/01,,,read,,,,1,0
7604,Lolita,Vladimir Nabokov,"Nabokov, Vladimir",Craig Raine,"=""""","=""""",0,Penguin,Paperback,368,1995,1955,,2018/12/01,"purchased-but-not-read, currently-reading","purchased-but-not-read (#2), currently-reading (#5)",currently-reading,,,,1,0
34890015,Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,Hans Rosling,"Rosling, Hans","Ola Rosling, Anna Rosling Rönnlund","=""1473637465""","=""9781473637467""",0,Sceptre,Hardcover,342,2018,2018,,2018/12/01,"purchased-but-not-read, currently-reading","purchased-but-not-read (#1), currently-reading (#4)",currently-reading,,,,1,0
20696006,Being Mortal: Medicine and What Matters in the End,Atul Gawande,"Gawande, Atul",,"=""0805095152""","=""9780805095159""",5.0,Metropolitan Books,Hardcover,282,2014,2014,2018/09/13,2018/09/12,,,read,,,,1,0
6375312,"Don't Lose Your Mind, Lose Your Weight",Rujuta Diwekar,"Diwekar, Rujuta",Kareena Kapoor,"=""8184000669""","=""9788184000665""",0,Random House Books ,Paperback,279,2009,2009,,2018/07/01,,,read,,,,1,0
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",0,Arthur A. Levine Books,Hardcover,759,2007,2007,,2018/03/28,,,read,,,,1,0
95186,The Inheritance of Loss,Kiran Desai,"Desai, Kiran",,"=""0802142818""","=""9780802142818""",5.0,Grove Press,Paperback,357,2005,2005,,2018/03/21,,,read,,,,1,0
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5.0,Scholastic Inc,Paperback,652,2006,2005,,2018/03/06,,,read,,,,1,0
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439139597""","=""9780439139595""",0,Scholastic,Paperback,734,2002,2000,,2018/01/26,,,read,,,,1,0
6900,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,"Albom, Mitch",,"=""""","=""""",0,Warner,Paperback,210,2000,1997,,2017/12/15,,,read,,,,1,0
168668,Catch-22,Joseph Heller,"Heller, Joseph",,"=""0684833395""","=""9780684833392""",5.0,Simon & Schuster ,Paperback,453,2004,1961,,2011/11/03,,,read,,,,1,0
213233,Better: A Surgeon's Notes on Performance,Atul Gawande,"Gawande, Atul",,"=""0805082115""","=""9780805082111""",0,Metropolitan Books,Hardcover,288,2007,2007,2017/09/14,2017/08/21,,,read,,,,1,0
31920777,American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road,Nick Bilton,"Bilton, Nick",,"=""1591848148""","=""9781591848141""",0,Portfolio,Hardcover,328,2017,2017,,2017/09/14,to-read,to-read (#35),to-read,,,,0,0
29868612,A Life in Parts,Bryan Cranston,"Cranston, Bryan",,"=""1476793859""","=""9781476793856""",0,Scribner,Hardcover,276,2016,2016,,2017/09/14,to-read,to-read (#34),to-read,,,,0,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",0,Scholastic Inc.,Mass Market Paperback,547,2004,1999,,2017/09/14,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",0,Arthur A. Levine Books,Hardcover,341,1999,1998,,2017/09/04,,,read,,,,1,0
85697,The Art of Possibility: Transforming Professional and Personal Life,Rosamund Stone Zander,"Zander, Rosamund Stone",Benjamin Zander,"=""0142001104""","=""9780142001103""",0,Penguin Books,Paperback,210,2002,2000,,2017/08/21,currently-reading,currently-reading (#3),currently-reading,,,,1,0
13069874,Jerusalem,Alan Moore,"Moore, Alan",,"=""1631491342""","=""9781631491344""",0,Liveright Publishing Corporation,Hardcover,1266,2016,2016,,2017/08/21,currently-reading,currently-reading (#2),currently-reading,,,,1,0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""0439554934""","=""9780439554930""",0,Scholastic Inc,Hardcover,309,2003,1997,,2017/08/21,,,read,,,,1,0
15195,The Complete Maus,Art Spiegelman,"Spiegelman, Art",,"=""0141014083""","=""9780141014081""",5.0,Penguin Books,Paperback,296,2003,1980,,2016/02/13,,,read,,,,1,0
9712,Love in the Time of Cholera,Gabriel García Márquez,"Márquez, Gabriel García","Kjell Risvik, Edith Grossman, Carlos Marrodán Casas","=""140003468X""","=""9781400034680""",0,Vintage International,Paperback,348,2003,1985,,2017/07/07,,,read,,,,1,0
4477,Complications: A Surgeon's Notes on an Imperfect Science,Atul Gawande,"Gawande, Atul",,"=""0312421702""","=""9780312421700""",0,Metropolitan Books,Paperback,270,2003,2002,,2017/05/17,,,read,,,,1,0
119073,The Name of the Rose,Umberto Eco,"Eco, Umberto",William Weaver,"=""0156001314""","=""9780156001311""",0,Houghton Mifflin Harcourt,Paperback,552,1994,1980,,2017/04/28,,,read,,,,1,0
96358,Batman: The Killing Joke,Alan Moore,"Moore, Alan","Brian Bolland, Tim Sale","=""0930289455""","=""9780930289454""",0,DC Comics,Paperback,50,1995,1988,,2017/03/06,,,read,,,,1,0
2864204,Breakdowns: Portrait of the Artist as a Young %@&*! (Pantheon Graphic Library),Art Spiegelman,"Spiegelman, Art",,"=""0375423958""","=""9780375423956""",0,Pantheon,Hardcover,72,2008,1977,,2016/04/14,,,read,,,,1,0
518300,Mottled Dawn: Fifty Sketches and Stories of Partition,Saadat Hasan Manto,"Manto, Saadat Hasan",Khalid Hassan,"=""0140272127""","=""9780140272123""",0,Penguin Books,Paperback,214,2004,1997,,2017/01/13,,,read,,,,1,0
6667514,The Checklist Manifesto: How to Get Things Right,Atul Gawande,"Gawande, Atul",,"=""0805091742""","=""9780805091748""",0,Metropolitan Books,Hardcover,208,2009,2009,,2016/11/23,,,read,,,,1,0
4799,"Cannery Row (Cannery Row, #1)",John Steinbeck,"Steinbeck, John",,"=""014200068X""","=""9780142000687""",0,Penguin Books,Paperback,181,2002,1943,,2016/09/28,,,read,,,,1,0
6304264,The Wish Maker,Ali Sethi,"Sethi, Ali",,"=""1594488754""","=""9781594488757""",5.0,Riverhead Hardcover,Hardcover,432,2009,2009,,2016/09/14,,,read,,,,1,0
25614994,Fight Club 2,Chuck Palahniuk,"Palahniuk, Chuck","Cameron   Stewart, David W. Mack","=""1616559454""","=""9781616559458""",0,Dark Horse Books,Hardcover,276,2016,2015,,2016/09/08,,,read,,,,1,0
332613,One Flew Over the Cuckoo's Nest,Ken Kesey,"Kesey, Ken",,"=""""","=""""",0,Signet,Mass Market Paperback,325,1963,1962,2016/06/12,2016/06/02,,,read,,,,1,0
25489025,The Vegetarian,Han Kang,"Kang, Han",Deborah Smith,"=""0553448188""","=""9780553448184""",0,Hogarth,Hardcover,158,2016,2007,,2016/06/12,,,read,,,,1,0
29083570,ठीक तुम्हारे पीछे [Theek Tumhare Peechhe],Manav Kaul,"Kaul, Manav",,"=""9384419400""","=""9789384419400""",0,Hind Yugm,Paperback,192,2016,2016,,2016/06/02,currently-reading,currently-reading (#1),currently-reading,,,,1,0
91201,Doctors,Erich Segal,"Segal, Erich",,"=""0553278118""","=""9780553278118""",4.0,Bantam,Mass Market Paperback,675,1989,1988,2016/06/02,2016/03/24,,,read,,,,1,0
